ageband,sex,mode,n,percent
65-69,Male,Pedal Cycle,1,0.0018832391713747645
70-74,Female,Pedal Cycle,1,0.0018832391713747645
70-74,Male,Pedal Cycle,0,0
75-79,Female,Pedal Cycle,0,0
75-79,Male,Pedal Cycle,0,0
80-84,Female,Pedal Cycle,0,0
80-84,Male,Pedal Cycle,0,0
85-89,Female,Pedal Cycle,0,0
85-89,Male,Pedal Cycle,1,0.0018832391713747645
0-4,Female,Pedestrian,2,0.003766478342749529
0-4,Male,Pedestrian,2,0.003766478342749529
10-14,Female,Pedestrian,1,0.0018832391713747645
10-14,Male,Pedestrian,6,0.011299435028248588
15-19,Female,Pedestrian,1,0.0018832391713747645
15-19,Male,Pedestrian,3,0.005649717514124294
20-24,Female,Pedestrian,2,0.003766478342749529
20-24,Male,Pedestrian,1,0.0018832391713747645
25-29,Female,Pedestrian,2,0.003766478342749529
25-29,Male,Pedestrian,1,0.0018832391713747645
30-34,Female,Pedestrian,1,0.0018832391713747645
30-34,Male,Pedestrian,1,0.0018832391713747645
35-39,Female,Pedestrian,2,0.003766478342749529
35-39,Male,Pedestrian,1,0.0018832391713747645
40-44,Female,Pedestrian,1,0.0018832391713747645
40-44,Male,Pedestrian,0,0
45-49,Female,Pedestrian,1,0.0018832391713747645
45-49,Male,Pedestrian,0,0
5-9,Female,Pedestrian,1,0.0018832391713747645
5-9,Male,Pedestrian,2,0.003766478342749529
50-54,Female,Pedestrian,0,0
50-54,Male,Pedestrian,1,0.0018832391713747645
55-59,Female,Pedestrian,1,0.0018832391713747645
55-59,Male,Pedestrian,0,0
60-64,Female,Pedestrian,1,0.0018832391713747645
60-64,Male,Pedestrian,1,0.0018832391713747645
65-69,Female,Pedestrian,1,0.0018832391713747645
65-69,Male,Pedestrian,1,0.0018832391713747645
70-74,Female,Pedestrian,0,0
70-74,Male,Pedestrian,1,0.0018832391713747645
75-79,Female,Pedestrian,0,0
75-79,Male,Pedestrian,2,0.003766478342749529
80-84,Female,Pedestrian,0,0
80-84,Male,Pedestrian,1,0.0018832391713747645
85-89,Female,Pedestrian,0,0
85-89,Male,Pedestrian,1,0.0018832391713747645
0-4,Female,Powered 2 Wheeler,0,0
0-4,Male,Powered 2 Wheeler,0,0
10-14,Female,Powered 2 Wheeler,0,0
10-14,Male,Powered 2 Wheeler,0,0
15-19,Female,Powered 2 Wheeler,0,0
15-19,Male,Powered 2 Wheeler,3,0.005649717514124294
20-24,Female,Powered 2 Wheeler,0,0
20-24,Male,Powered 2 Wheeler,7,0.013182674199623353
25-29,Female,Powered 2 Wheeler,1,0.0018832391713747645
25-29,Male,Powered 2 Wheeler,4,0.007532956685499058
30-34,Female,Powered 2 Wheeler,0,0
30-34,Male,Powered 2 Wheeler,3,0.005649717514124294
35-39,Female,Powered 2 Wheeler,0,0
35-39,Male,Powered 2 Wheeler,0,0
40-44,Female,Powered 2 Wheeler,0,0
40-44,Male,Powered 2 Wheeler,0,0
45-49,Female,Powered 2 Wheeler,0,0
45-49,Male,Powered 2 Wheeler,0,0
5-9,Female,Powered 2 Wheeler,0,0
5-9,Male,Powered 2 Wheeler,0,0
50-54,Female,Powered 2 Wheeler,0,0
50-54,Male,Powered 2 Wheeler,2,0.003766478342749529
55-59,Female,Powered 2 Wheeler,0,0
55-59,Male,Powered 2 Wheeler,0,0
60-64,Female,Powered 2 Wheeler,0,0
60-64,Male,Powered 2 Wheeler,0,0
65-69,Female,Powered 2 Wheeler,0,0
65-69,Male,Powered 2 Wheeler,0,0
70-74,Female,Powered 2 Wheeler,0,0
70-74,Male,Powered 2 Wheeler,0,0
75-79,Female,Powered 2 Wheeler,0,0
75-79,Male,Powered 2 Wheeler,1,0.0018832391713747645
80-84,Female,Powered 2 Wheeler,0,0
80-84,Male,Powered 2 Wheeler,0,0
85-89,Female,Powered 2 Wheeler,0,0
85-89,Male,Powered 2 Wheeler,0,0
0-4,Female,Total,4,0.007532956685499058
0-4,Male,Total,5,0.009416195856873822
10-14,Female,Total,4,0.007532956685499058
10-14,Male,Total,14,0.026365348399246705
15-19,Female,Total,10,0.018832391713747645
15-19,Male,Total,15,0.02824858757062147
20-24,Female,Total,19,0.035781544256120526
20-24,Male,Total,17,0.032015065913371
25-29,Female,Total,12,0.022598870056497175
25-29,Male,Total,7,0.013182674199623353
30-34,Female,Total,8,0.015065913370998116
30-34,Male,Total,13,0.02448210922787194
35-39,Female,Total,10,0.018832391713747645
35-39,Male,Total,14,0.026365348399246705
40-44,Female,Total,10,0.018832391713747645
40-44,Male,Total,7,0.013182674199623353
45-49,Female,Total,9,0.01694915254237288
45-49,Male,Total,7,0.013182674199623353
5-9,Female,Total,5,0.009416195856873822
5-9,Male,Total,7,0.013182674199623353
50-54,Female,Total,8,0.015065913370998116
50-54,Male,Total,10,0.018832391713747645
55-59,Female,Total,8,0.015065913370998116
55-59,Male,Total,3,0.005649717514124294
60-64,Female,Total,4,0.007532956685499058
60-64,Male,Total,2,0.003766478342749529
65-69,Female,Total,5,0.009416195856873822
65-69,Male,Total,4,0.007532956685499058
70-74,Female,Total,2,0.003766478342749529
70-74,Male,Total,2,0.003766478342749529
75-79,Female,Total,1,0.0018832391713747645
75-79,Male,Total,2,0.003766478342749529
80-84,Female,Total,1,0.0018832391713747645
80-84,Male,Total,3,0.005649717514124294
85-89,Female,Total,1,0.0018832391713747645
85-89,Male,Total,2,0.003766478342749529
