geography,period,area_code,area_name,language,n
Ward,2011,E05000820,Ashton upon Mersey,African language (all other),0
Ward,2011,E05000820,Ashton upon Mersey,All other languages,2
Ward,2011,E05000820,Ashton upon Mersey,British sign language,2
Ward,2011,E05000820,Ashton upon Mersey,Sign Language (all other),2
Ward,2011,E05000820,Ashton upon Mersey,Any Sign Communication System,0
Ward,2011,E05000821,Bowdon,English (English or Welsh if in Wales),8638
Ward,2011,E05000821,Bowdon,Welsh/Cymraeg (in England only),3
Ward,2011,E05000821,Bowdon,Gaelic (Irish),0
Ward,2011,E05000821,Bowdon,Gaelic (Scottish),0
Ward,2011,E05000821,Bowdon,Manx Gaelic,0
Ward,2011,E05000821,Bowdon,Gaelic (Not otherwise specified),1
Ward,2011,E05000821,Bowdon,Cornish,0
Ward,2011,E05000821,Bowdon,Scots,0
Ward,2011,E05000821,Bowdon,Gypsy/Traveller languages,0
Ward,2011,E05000821,Bowdon,French,18
Ward,2011,E05000821,Bowdon,Portuguese,1
Ward,2011,E05000821,Bowdon,Spanish,16
Ward,2011,E05000821,Bowdon,Italian,6
Ward,2011,E05000821,Bowdon,German,8
Ward,2011,E05000821,Bowdon,Polish,39
Ward,2011,E05000821,Bowdon,Slovak,9
Ward,2011,E05000821,Bowdon,Czech,3
Ward,2011,E05000821,Bowdon,Romanian,6
Ward,2011,E05000821,Bowdon,Lithuanian,0
Ward,2011,E05000821,Bowdon,Latvian,0
Ward,2011,E05000821,Bowdon,Hungarian,4
Ward,2011,E05000821,Bowdon,Bulgarian,13
Ward,2011,E05000821,Bowdon,Greek,3
Ward,2011,E05000821,Bowdon,Dutch,10
Ward,2011,E05000821,Bowdon,Swedish,2
Ward,2011,E05000821,Bowdon,Danish,3
Ward,2011,E05000821,Bowdon,Finnish,3
Ward,2011,E05000821,Bowdon,Estonian,0
Ward,2011,E05000821,Bowdon,Slovenian,0
Ward,2011,E05000821,Bowdon,Maltese,0
Ward,2011,E05000821,Bowdon,Any other European Language (EU),5
Ward,2011,E05000821,Bowdon,Albanian,2
Ward,2011,E05000821,Bowdon,Serbian/Croatian/Bosnian,2
Ward,2011,E05000821,Bowdon,Ukrainian,0
Ward,2011,E05000821,Bowdon,Any other Eastern European Language (non EU),0
Ward,2011,E05000821,Bowdon,Northern European Language (non EU),0
Ward,2011,E05000821,Bowdon,Romani language (any),0
Ward,2011,E05000821,Bowdon,Yiddish,0
Ward,2011,E05000821,Bowdon,Russian,2
Ward,2011,E05000821,Bowdon,Turkish,6
Ward,2011,E05000821,Bowdon,Arabic,15
Ward,2011,E05000821,Bowdon,Hebrew,0
Ward,2011,E05000821,Bowdon,Kurdish,0
Ward,2011,E05000821,Bowdon,Persian/Farsi,4
Ward,2011,E05000821,Bowdon,Pashto,0
Ward,2011,E05000821,Bowdon,West/Central Asian Language (all other),0
Ward,2011,E05000821,Bowdon,Urdu,39
Ward,2011,E05000821,Bowdon,Hindi,13
Ward,2011,E05000821,Bowdon,Panjabi,18
Ward,2011,E05000821,Bowdon,Pakistani Pahari (with Mirpuri and Potwari),0
Ward,2011,E05000821,Bowdon,Bengali (with Sylheti and Chatgaya),3
Ward,2011,E05000821,Bowdon,Gujarati,2
Ward,2011,E05000821,Bowdon,Marathi,2
Ward,2011,E05000821,Bowdon,Telugu,0
Ward,2011,E05000821,Bowdon,Tamil,5
Ward,2011,E05000821,Bowdon,Malayalam,5
Ward,2011,E05000821,Bowdon,Sinhala,0
Ward,2011,E05000821,Bowdon,Nepalese,0
Ward,2011,E05000821,Bowdon,South Asian Language (all other),1
Ward,2011,E05000821,Bowdon,Mandarin Chinese,2
Ward,2011,E05000821,Bowdon,Cantonese Chinese,5
Ward,2011,E05000821,Bowdon,All other Chinese,12
Ward,2011,E05000821,Bowdon,Japanese,5
Ward,2011,E05000821,Bowdon,Korean,0
Ward,2011,E05000821,Bowdon,Vietnamese,0
Ward,2011,E05000821,Bowdon,Thai,5
Ward,2011,E05000821,Bowdon,Malay,1
Ward,2011,E05000821,Bowdon,Tagalog/Filipino,11
Ward,2011,E05000821,Bowdon,East Asian Language (all other),2
Ward,2011,E05000821,Bowdon,Oceanic/Australian language (any),0
Ward,2011,E05000821,Bowdon,North/South American language (any),0
Ward,2011,E05000821,Bowdon,Caribbean Creole (English-based),0
Ward,2011,E05000821,Bowdon,Caribbean Creole (all other),0
Ward,2011,E05000821,Bowdon,Amharic,0
Ward,2011,E05000821,Bowdon,Tigrinya,0
Ward,2011,E05000821,Bowdon,Somali,0
Ward,2011,E05000821,Bowdon,Krio,0
Ward,2011,E05000821,Bowdon,Akan,0
Ward,2011,E05000821,Bowdon,Yoruba,0
Ward,2011,E05000821,Bowdon,Igbo,0
Ward,2011,E05000821,Bowdon,Swahili/Kiswahili,0
Ward,2011,E05000821,Bowdon,Luganda,0
Ward,2011,E05000821,Bowdon,Lingala,0
Ward,2011,E05000821,Bowdon,Shona,0
Ward,2011,E05000821,Bowdon,Afrikaans,2
Ward,2011,E05000821,Bowdon,Any other Nigerian language,0
Ward,2011,E05000821,Bowdon,West African language (all other),0
Ward,2011,E05000821,Bowdon,African language (all other),0
Ward,2011,E05000821,Bowdon,All other languages,1
Ward,2011,E05000821,Bowdon,British sign language,1
Ward,2011,E05000821,Bowdon,Sign Language (all other),0
Ward,2011,E05000821,Bowdon,Any Sign Communication System,0
Ward,2011,E05000822,Broadheath,English (English or Welsh if in Wales),11333
Ward,2011,E05000822,Broadheath,Welsh/Cymraeg (in England only),13
Ward,2011,E05000822,Broadheath,Gaelic (Irish),0
Ward,2011,E05000822,Broadheath,Gaelic (Scottish),0
Ward,2011,E05000822,Broadheath,Manx Gaelic,0
Ward,2011,E05000822,Broadheath,Gaelic (Not otherwise specified),0
Ward,2011,E05000822,Broadheath,Cornish,0
Ward,2011,E05000822,Broadheath,Scots,0
Ward,2011,E05000822,Broadheath,Gypsy/Traveller languages,0
Ward,2011,E05000822,Broadheath,French,19
Ward,2011,E05000822,Broadheath,Portuguese,9
Ward,2011,E05000822,Broadheath,Spanish,24
Ward,2011,E05000822,Broadheath,Italian,6
Ward,2011,E05000822,Broadheath,German,19
Ward,2011,E05000822,Broadheath,Polish,120
Ward,2011,E05000822,Broadheath,Slovak,19
Ward,2011,E05000822,Broadheath,Czech,4
Ward,2011,E05000822,Broadheath,Romanian,8
Ward,2011,E05000822,Broadheath,Lithuanian,5
Ward,2011,E05000822,Broadheath,Latvian,1
Ward,2011,E05000822,Broadheath,Hungarian,4
Ward,2011,E05000822,Broadheath,Bulgarian,0
Ward,2011,E05000822,Broadheath,Greek,9
Ward,2011,E05000822,Broadheath,Dutch,5
Ward,2011,E05000822,Broadheath,Swedish,4
Ward,2011,E05000822,Broadheath,Danish,3
Ward,2011,E05000822,Broadheath,Finnish,0
Ward,2011,E05000822,Broadheath,Estonian,0
Ward,2011,E05000822,Broadheath,Slovenian,0
Ward,2011,E05000822,Broadheath,Maltese,1
Ward,2011,E05000822,Broadheath,Any other European Language (EU),0
Ward,2011,E05000822,Broadheath,Albanian,1
Ward,2011,E05000822,Broadheath,Serbian/Croatian/Bosnian,3
Ward,2011,E05000822,Broadheath,Ukrainian,1
Ward,2011,E05000822,Broadheath,Any other Eastern European Language (non EU),0
Ward,2011,E05000822,Broadheath,Northern European Language (non EU),0
Ward,2011,E05000822,Broadheath,Romani language (any),0
Ward,2011,E05000822,Broadheath,Yiddish,0
Ward,2011,E05000822,Broadheath,Russian,8
Ward,2011,E05000822,Broadheath,Turkish,14
Ward,2011,E05000822,Broadheath,Arabic,34
Ward,2011,E05000822,Broadheath,Hebrew,0
Ward,2011,E05000822,Broadheath,Kurdish,6
Ward,2011,E05000822,Broadheath,Persian/Farsi,9
Ward,2011,E05000822,Broadheath,Pashto,0
Ward,2011,E05000822,Broadheath,West/Central Asian Language (all other),2
Ward,2011,E05000822,Broadheath,Urdu,35
Ward,2011,E05000822,Broadheath,Hindi,17
Ward,2011,E05000822,Broadheath,Panjabi,21
Ward,2011,E05000822,Broadheath,Pakistani Pahari (with Mirpuri and Potwari),1
Ward,2011,E05000822,Broadheath,Bengali (with Sylheti and Chatgaya),18
Ward,2011,E05000822,Broadheath,Gujarati,10
Ward,2011,E05000822,Broadheath,Marathi,1
Ward,2011,E05000822,Broadheath,Telugu,9
Ward,2011,E05000822,Broadheath,Tamil,11
Ward,2011,E05000822,Broadheath,Malayalam,23
Ward,2011,E05000822,Broadheath,Sinhala,0
Ward,2011,E05000822,Broadheath,Nepalese,0
Ward,2011,E05000822,Broadheath,South Asian Language (all other),7
Ward,2011,E05000822,Broadheath,Mandarin Chinese,12
Ward,2011,E05000822,Broadheath,Cantonese Chinese,27
Ward,2011,E05000822,Broadheath,All other Chinese,61
Ward,2011,E05000822,Broadheath,Japanese,5
Ward,2011,E05000822,Broadheath,Korean,9
Ward,2011,E05000822,Broadheath,Vietnamese,0
Ward,2011,E05000822,Broadheath,Thai,5
Ward,2011,E05000822,Broadheath,Malay,2
Ward,2011,E05000822,Broadheath,Tagalog/Filipino,7
Ward,2011,E05000822,Broadheath,East Asian Language (all other),0
Ward,2011,E05000822,Broadheath,Oceanic/Australian language (any),1
Ward,2011,E05000822,Broadheath,North/South American language (any),0
Ward,2011,E05000822,Broadheath,Caribbean Creole (English-based),0
Ward,2011,E05000822,Broadheath,Caribbean Creole (all other),0
Ward,2011,E05000822,Broadheath,Amharic,1
