geography,period,area_code,area_name,gender,age,n
Ward,2016,E05000836,Stretford,Female,4,78
Ward,2016,E05000837,Timperley,Female,4,66
Ward,2016,E05000838,Urmston,Female,4,79
Ward,2016,E05000839,Village,Female,4,56
Ward,2016,E05000819,Altrincham,Male,4,100
Ward,2016,E05000820,Ashton upon Mersey,Male,4,80
Ward,2016,E05000821,Bowdon,Male,4,62
Ward,2016,E05000822,Broadheath,Male,4,110
Ward,2016,E05000823,Brooklands,Male,4,87
Ward,2016,E05000824,Bucklow-St Martins,Male,4,93
Ward,2016,E05000825,Clifford,Male,4,105
Ward,2016,E05000826,Davyhulme East,Male,4,51
Ward,2016,E05000827,Davyhulme West,Male,4,66
Ward,2016,E05000828,Flixton,Male,4,65
Ward,2016,E05000829,Gorse Hill,Male,4,114
Ward,2016,E05000830,Hale Barns,Male,4,59
Ward,2016,E05000831,Hale Central,Male,4,83
Ward,2016,E05000832,Longford,Male,4,87
Ward,2016,E05000833,Priory,Male,4,83
Ward,2016,E05000834,St Mary's,Male,4,77
Ward,2016,E05000835,Sale Moor,Male,4,79
Ward,2016,E05000836,Stretford,Male,4,100
Ward,2016,E05000837,Timperley,Male,4,93
Ward,2016,E05000838,Urmston,Male,4,72
Ward,2016,E05000839,Village,Male,4,85
Ward,2016,E05000819,Altrincham,Total,5,202
Ward,2016,E05000820,Ashton upon Mersey,Total,5,125
Ward,2016,E05000821,Bowdon,Total,5,118
Ward,2016,E05000822,Broadheath,Total,5,215
Ward,2016,E05000823,Brooklands,Total,5,164
Ward,2016,E05000824,Bucklow-St Martins,Total,5,190
Ward,2016,E05000825,Clifford,Total,5,202
Ward,2016,E05000826,Davyhulme East,Total,5,131
Ward,2016,E05000827,Davyhulme West,Total,5,119
Ward,2016,E05000828,Flixton,Total,5,143
Ward,2016,E05000829,Gorse Hill,Total,5,183
Ward,2016,E05000830,Hale Barns,Total,5,128
Ward,2016,E05000831,Hale Central,Total,5,137
Ward,2016,E05000832,Longford,Total,5,183
Ward,2016,E05000833,Priory,Total,5,178
Ward,2016,E05000834,St Mary's,Total,5,150
Ward,2016,E05000835,Sale Moor,Total,5,141
Ward,2016,E05000836,Stretford,Total,5,165
Ward,2016,E05000837,Timperley,Total,5,160
Ward,2016,E05000838,Urmston,Total,5,133
Ward,2016,E05000839,Village,Total,5,160
Ward,2016,E05000819,Altrincham,Female,5,96
Ward,2016,E05000820,Ashton upon Mersey,Female,5,68
Ward,2016,E05000821,Bowdon,Female,5,60
Ward,2016,E05000822,Broadheath,Female,5,95
Ward,2016,E05000823,Brooklands,Female,5,68
Ward,2016,E05000824,Bucklow-St Martins,Female,5,91
Ward,2016,E05000825,Clifford,Female,5,102
Ward,2016,E05000826,Davyhulme East,Female,5,77
Ward,2016,E05000827,Davyhulme West,Female,5,57
Ward,2016,E05000828,Flixton,Female,5,75
Ward,2016,E05000829,Gorse Hill,Female,5,89
Ward,2016,E05000830,Hale Barns,Female,5,71
Ward,2016,E05000831,Hale Central,Female,5,68
Ward,2016,E05000832,Longford,Female,5,98
Ward,2016,E05000833,Priory,Female,5,87
Ward,2016,E05000834,St Mary's,Female,5,76
Ward,2016,E05000835,Sale Moor,Female,5,78
Ward,2016,E05000836,Stretford,Female,5,71
Ward,2016,E05000837,Timperley,Female,5,79
Ward,2016,E05000838,Urmston,Female,5,71
Ward,2016,E05000839,Village,Female,5,78
Ward,2016,E05000819,Altrincham,Male,5,106
Ward,2016,E05000820,Ashton upon Mersey,Male,5,57
Ward,2016,E05000821,Bowdon,Male,5,58
Ward,2016,E05000822,Broadheath,Male,5,120
Ward,2016,E05000823,Brooklands,Male,5,96
Ward,2016,E05000824,Bucklow-St Martins,Male,5,99
Ward,2016,E05000825,Clifford,Male,5,100
Ward,2016,E05000826,Davyhulme East,Male,5,54
Ward,2016,E05000827,Davyhulme West,Male,5,62
Ward,2016,E05000828,Flixton,Male,5,68
Ward,2016,E05000829,Gorse Hill,Male,5,94
Ward,2016,E05000830,Hale Barns,Male,5,57
Ward,2016,E05000831,Hale Central,Male,5,69
Ward,2016,E05000832,Longford,Male,5,85
Ward,2016,E05000833,Priory,Male,5,91
Ward,2016,E05000834,St Mary's,Male,5,74
Ward,2016,E05000835,Sale Moor,Male,5,63
Ward,2016,E05000836,Stretford,Male,5,94
Ward,2016,E05000837,Timperley,Male,5,81
Ward,2016,E05000838,Urmston,Male,5,62
Ward,2016,E05000839,Village,Male,5,82
Ward,2016,E05000819,Altrincham,Total,6,177
Ward,2016,E05000820,Ashton upon Mersey,Total,6,128
Ward,2016,E05000821,Bowdon,Total,6,110
Ward,2016,E05000822,Broadheath,Total,6,223
Ward,2016,E05000823,Brooklands,Total,6,146
Ward,2016,E05000824,Bucklow-St Martins,Total,6,194
Ward,2016,E05000825,Clifford,Total,6,187
Ward,2016,E05000826,Davyhulme East,Total,6,114
Ward,2016,E05000827,Davyhulme West,Total,6,123
Ward,2016,E05000828,Flixton,Total,6,134
Ward,2016,E05000829,Gorse Hill,Total,6,170
Ward,2016,E05000830,Hale Barns,Total,6,132
Ward,2016,E05000831,Hale Central,Total,6,166
Ward,2016,E05000832,Longford,Total,6,162
Ward,2016,E05000833,Priory,Total,6,156
Ward,2016,E05000834,St Mary's,Total,6,145
Ward,2016,E05000835,Sale Moor,Total,6,155
Ward,2016,E05000836,Stretford,Total,6,187
Ward,2016,E05000837,Timperley,Total,6,151
Ward,2016,E05000838,Urmston,Total,6,137
Ward,2016,E05000839,Village,Total,6,150
Ward,2016,E05000819,Altrincham,Female,6,95
Ward,2016,E05000820,Ashton upon Mersey,Female,6,54
Ward,2016,E05000821,Bowdon,Female,6,49
Ward,2016,E05000822,Broadheath,Female,6,122
Ward,2016,E05000823,Brooklands,Female,6,73
Ward,2016,E05000824,Bucklow-St Martins,Female,6,98
Ward,2016,E05000825,Clifford,Female,6,89
Ward,2016,E05000826,Davyhulme East,Female,6,49
Ward,2016,E05000827,Davyhulme West,Female,6,67
Ward,2016,E05000828,Flixton,Female,6,46
Ward,2016,E05000829,Gorse Hill,Female,6,92
Ward,2016,E05000830,Hale Barns,Female,6,65
Ward,2016,E05000831,Hale Central,Female,6,86
Ward,2016,E05000832,Longford,Female,6,81
Ward,2016,E05000833,Priory,Female,6,81
Ward,2016,E05000834,St Mary's,Female,6,63
Ward,2016,E05000835,Sale Moor,Female,6,85
Ward,2016,E05000836,Stretford,Female,6,71
Ward,2016,E05000837,Timperley,Female,6,71
Ward,2016,E05000838,Urmston,Female,6,73
Ward,2016,E05000839,Village,Female,6,77
Ward,2016,E05000819,Altrincham,Male,6,82
Ward,2016,E05000820,Ashton upon Mersey,Male,6,74
Ward,2016,E05000821,Bowdon,Male,6,61
Ward,2016,E05000822,Broadheath,Male,6,101
Ward,2016,E05000823,Brooklands,Male,6,73
Ward,2016,E05000824,Bucklow-St Martins,Male,6,96
Ward,2016,E05000825,Clifford,Male,6,98
Ward,2016,E05000826,Davyhulme East,Male,6,65
Ward,2016,E05000827,Davyhulme West,Male,6,56
Ward,2016,E05000828,Flixton,Male,6,88
Ward,2016,E05000829,Gorse Hill,Male,6,78
Ward,2016,E05000830,Hale Barns,Male,6,67
Ward,2016,E05000831,Hale Central,Male,6,80
Ward,2016,E05000832,Longford,Male,6,81
Ward,2016,E05000833,Priory,Male,6,75
Ward,2016,E05000834,St Mary's,Male,6,82
Ward,2016,E05000835,Sale Moor,Male,6,70
Ward,2016,E05000836,Stretford,Male,6,116
Ward,2016,E05000837,Timperley,Male,6,80
Ward,2016,E05000838,Urmston,Male,6,64
Ward,2016,E05000839,Village,Male,6,73
Ward,2016,E05000819,Altrincham,Total,7,199
Ward,2016,E05000820,Ashton upon Mersey,Total,7,150
Ward,2016,E05000821,Bowdon,Total,7,131
Ward,2016,E05000822,Broadheath,Total,7,190
Ward,2016,E05000823,Brooklands,Total,7,157
Ward,2016,E05000824,Bucklow-St Martins,Total,7,168
Ward,2016,E05000825,Clifford,Total,7,182
Ward,2016,E05000826,Davyhulme East,Total,7,126
Ward,2016,E05000827,Davyhulme West,Total,7,119
Ward,2016,E05000828,Flixton,Total,7,123
Ward,2016,E05000829,Gorse Hill,Total,7,168
Ward,2016,E05000830,Hale Barns,Total,7,145
Ward,2016,E05000831,Hale Central,Total,7,151
Ward,2016,E05000832,Longford,Total,7,159
Ward,2016,E05000833,Priory,Total,7,133
Ward,2016,E05000834,St Mary's,Total,7,146
Ward,2016,E05000835,Sale Moor,Total,7,160
Ward,2016,E05000836,Stretford,Total,7,161
Ward,2016,E05000837,Timperley,Total,7,165
Ward,2016,E05000838,Urmston,Total,7,128
Ward,2016,E05000839,Village,Total,7,168
Ward,2016,E05000819,Altrincham,Female,7,104
Ward,2016,E05000820,Ashton upon Mersey,Female,7,76
Ward,2016,E05000821,Bowdon,Female,7,74
Ward,2016,E05000822,Broadheath,Female,7,92
Ward,2016,E05000823,Brooklands,Female,7,74
Ward,2016,E05000824,Bucklow-St Martins,Female,7,80
Ward,2016,E05000825,Clifford,Female,7,89
Ward,2016,E05000826,Davyhulme East,Female,7,64
Ward,2016,E05000827,Davyhulme West,Female,7,59
Ward,2016,E05000828,Flixton,Female,7,54
Ward,2016,E05000829,Gorse Hill,Female,7,84
Ward,2016,E05000830,Hale Barns,Female,7,65
Ward,2016,E05000831,Hale Central,Female,7,71
Ward,2016,E05000832,Longford,Female,7,82
Ward,2016,E05000833,Priory,Female,7,56
Ward,2016,E05000834,St Mary's,Female,7,81
Ward,2016,E05000835,Sale Moor,Female,7,93
Ward,2016,E05000836,Stretford,Female,7,82
Ward,2016,E05000837,Timperley,Female,7,86
Ward,2016,E05000838,Urmston,Female,7,63
Ward,2016,E05000839,Village,Female,7,74
Ward,2016,E05000819,Altrincham,Male,7,95
Ward,2016,E05000820,Ashton upon Mersey,Male,7,74
Ward,2016,E05000821,Bowdon,Male,7,57
Ward,2016,E05000822,Broadheath,Male,7,98
Ward,2016,E05000823,Brooklands,Male,7,83
Ward,2016,E05000824,Bucklow-St Martins,Male,7,88
Ward,2016,E05000825,Clifford,Male,7,93
Ward,2016,E05000826,Davyhulme East,Male,7,62
Ward,2016,E05000827,Davyhulme West,Male,7,60
Ward,2016,E05000828,Flixton,Male,7,69
Ward,2016,E05000829,Gorse Hill,Male,7,84
Ward,2016,E05000830,Hale Barns,Male,7,80
Ward,2016,E05000831,Hale Central,Male,7,80
Ward,2016,E05000832,Longford,Male,7,77
Ward,2016,E05000833,Priory,Male,7,77
Ward,2016,E05000834,St Mary's,Male,7,65
Ward,2016,E05000835,Sale Moor,Male,7,67
Ward,2016,E05000836,Stretford,Male,7,79
Ward,2016,E05000837,Timperley,Male,7,79
Ward,2016,E05000838,Urmston,Male,7,65
Ward,2016,E05000839,Village,Male,7,94
Ward,2016,E05000819,Altrincham,Total,8,157
Ward,2016,E05000820,Ashton upon Mersey,Total,8,119
Ward,2016,E05000821,Bowdon,Total,8,129
Ward,2016,E05000822,Broadheath,Total,8,228
Ward,2016,E05000823,Brooklands,Total,8,164
Ward,2016,E05000824,Bucklow-St Martins,Total,8,179
Ward,2016,E05000825,Clifford,Total,8,180
Ward,2016,E05000826,Davyhulme East,Total,8,121
Ward,2016,E05000827,Davyhulme West,Total,8,121
Ward,2016,E05000828,Flixton,Total,8,127
Ward,2016,E05000829,Gorse Hill,Total,8,196
Ward,2016,E05000830,Hale Barns,Total,8,151
Ward,2016,E05000831,Hale Central,Total,8,181
Ward,2016,E05000832,Longford,Total,8,196
Ward,2016,E05000833,Priory,Total,8,171
Ward,2016,E05000834,St Mary's,Total,8,162
Ward,2016,E05000835,Sale Moor,Total,8,156
Ward,2016,E05000836,Stretford,Total,8,171
Ward,2016,E05000837,Timperley,Total,8,136
Ward,2016,E05000838,Urmston,Total,8,121
Ward,2016,E05000839,Village,Total,8,181
Ward,2016,E05000819,Altrincham,Female,8,67
Ward,2016,E05000820,Ashton upon Mersey,Female,8,57
Ward,2016,E05000821,Bowdon,Female,8,57
Ward,2016,E05000822,Broadheath,Female,8,100
Ward,2016,E05000823,Brooklands,Female,8,77
Ward,2016,E05000824,Bucklow-St Martins,Female,8,90
Ward,2016,E05000825,Clifford,Female,8,90
Ward,2016,E05000826,Davyhulme East,Female,8,65
Ward,2016,E05000827,Davyhulme West,Female,8,58
Ward,2016,E05000828,Flixton,Female,8,53
Ward,2016,E05000829,Gorse Hill,Female,8,93
Ward,2016,E05000830,Hale Barns,Female,8,63
Ward,2016,E05000831,Hale Central,Female,8,97
Ward,2016,E05000832,Longford,Female,8,96
Ward,2016,E05000833,Priory,Female,8,89
Ward,2016,E05000834,St Mary's,Female,8,66
Ward,2016,E05000835,Sale Moor,Female,8,85
Ward,2016,E05000836,Stretford,Female,8,92
Ward,2016,E05000837,Timperley,Female,8,78
Ward,2016,E05000838,Urmston,Female,8,63
Ward,2016,E05000839,Village,Female,8,86
Ward,2016,E05000819,Altrincham,Male,8,90
Ward,2016,E05000820,Ashton upon Mersey,Male,8,62
Ward,2016,E05000821,Bowdon,Male,8,72
Ward,2016,E05000822,Broadheath,Male,8,128
Ward,2016,E05000823,Brooklands,Male,8,87
